token,source,n_terms_with_token,n_category_terms,category_share,cat_best_rank_min,rep_category_terms
box,4B_commemorated,2329,82,0.035,330.0,jewelry box | jewelry box for girls | ring box
mens,4A_gift_X,3304,63,0.019,4467.0,mens bracelet | mens rings | mens jewelry
jewelry making,4A_gift_X,56,56,1.0,5620.0,jewelry making supplies | beads for jewelry making | jewelry making kit
wedding,4A_gift_X,706,43,0.061,6940.0,wedding rings for women | wedding ring | womens silicone wedding ring
holder,4B_commemorated,1682,34,0.02,4645.0,earring holder organizer | necklace holder | ring holder
womens,4A_gift_X,4061,33,0.008,14202.0,womens earrings | womens jewelry | womens bracelets
travel,4A_gift_X,1504,27,0.018,2592.0,travel jewelry case | travel jewelry organizer | mini travel jewelry bag
hair,4A_gift_X,4288,21,0.005,8341.0,hair jewelry | gold hair cuffs | hair charms
costume,4B_commemorated,6865,20,0.003,15374.0,costume jewelry | costume jewelry for women | ring master costume female
couples,4A_gift_X,262,19,0.073,6532.0,couples bracelets | matching bracelets for couples | forever bracelets for couples
2025,4B_commemorated,2964,18,0.006,23299.0,jewelry advent calendar 2025 | graduation necklace class of 2025 | graduation bracelet 2025
back,4B_commemorated,676,17,0.025,3975.0,flat back earrings | flat back earrings for women | flat back earrings hypoallergenic
book,4B_commemorated,3726,13,0.003,47008.0,the seven rings nora roberts book 3 | my little star book necklace for daughter | book buddies slap bracelets
boxes,4B_commemorated,493,12,0.024,5167.0,jewelry boxes for women | jewelry boxes | jewelry gift boxes
star,4B_commemorated,612,12,0.02,35129.0,star earrings | star necklace | my little star book necklace for daughter
girl,4A_gift_X,1846,12,0.007,41126.0,little girl jewelry | little girl jewelry box | little girl earrings
cat,4B_commemorated,2098,12,0.006,36213.0,cat earrings | cat necklace | cat ring holder
tree,4A_gift_X,2282,12,0.005,40714.0,christmas tree earrings | christmas tree earrings for women | tree of life necklace
valentine,4A_gift_X,638,11,0.017,19903.0,valentine earrings for women | valentine earrings | valentine nail charms
dog,4A_gift_X,3603,11,0.003,39933.0,dog chain | dog chain for yard | dog necklace
body,4A_gift_X,1459,10,0.007,21827.0,body chain | body chain jewelry for women | gold body chain
door,4A_gift_X,1477,10,0.007,52267.0,door chain lock | chain locks for inside door | ring garage door opener
wall,4A_gift_X,1814,10,0.006,56244.0,wall jewelry organizer | jewelry organizer wall | wall safes between the studs fireproof
toddler,4A_gift_X,2440,10,0.004,36030.0,toddler jewelry | toddler jewelry age 2-4 | toddler bracelets
accessories,4B_commemorated,2158,9,0.004,75007.0,"bogg bag accessories charm | silver accessories for women jewelry | shoe, jewelry & watch accessories"
baby,4A_gift_X,4066,9,0.002,45484.0,teething necklace for baby | baby rattles & plush rings | ring sling baby carrier
women trendy,4A_gift_X,68,8,0.118,12481.0,earrings for women trendy | gold earrings for women trendy | bracelets for women trendy
teen girls,4A_gift_X,161,8,0.05,36687.0,bracelets for teen girls | jewelry for teen girls | necklaces for teen girls
nails,4A_gift_X,653,8,0.012,46942.0,charms for nails design | charms for nails | nails charms
