scene,cluster,n_category_terms,best_rank_min,peak_month,in_hypothesis_dict,rep_terms
nail,charm潮流,38,971,2025-02,False,nail charms | nail charms and gems | christmas nail charms
croc,charm潮流,34,2181,2025-04,False,croc charms | croc charms for girls | croc charms for boys
phone,charm潮流,17,5345,2025-08,False,phone charm | phone charms | phone ring holder
purse,charm潮流,14,3842,2025-12,False,purse charms | best selling purse charms | purse charms for handbags
italian,charm潮流,8,7666,2025-05,False,italian charm bracelet | italian charms | italian charm bracelet charms
keychain,charm潮流,5,20175,2025-08,False,keychain charms | keychain rings | keychain ring
bogg bag,charm潮流,4,5549,2025-06,False,bogg bag charms | bogg bag accessories charm | charms for bogg bag
crocs,charm潮流,4,10504,2025-03,False,crocs charms | crocs charms for women | crocs charms for girls
shoe,charm潮流,4,13956,2025-08,False,shoe charms for sneakers | shoe charms | shoe charms for crocs
clip,charm潮流,4,121311,2025-04,False,clip earrings for women | paper clip necklace | paper clip necklaces for women
stack,charm潮流,3,101468,2025-08,False,gold stack bracelets for women | stack bracelets for women | gold stack bracelets
initial,个性化/定制,21,5937,2025-12,False,initial necklaces for women | initial necklace | initial bracelet
name,个性化/定制,11,7453,2025-12,False,name necklace | name necklaces for women | custom name necklace
letter,个性化/定制,7,19405,2025-01,False,bubble letter necklace gold | letter necklace | letter charms
photo,个性化/定制,4,53972,2025-05,False,graduation tassel photo charm | photo necklace | personalized graduation tassel photo charm with angel wings
bubble letter,个性化/定制,3,19405,2025-01,False,bubble letter necklace gold | bubble letter necklace | bubble letter necklace silver
daughter,关系/身份,15,22969,2025-12,True,mother daughter bracelets | to my daughter necklace | mother daughter necklace
friendship,关系/身份,13,6443,2025-09,True,friendship bracelet kit | friendship bracelets | friendship bracelet string
matching,关系/身份,9,10654,2025-02,True,matching bracelets for couples | matching bracelets | matching rings for couples
couples,关系/身份,7,6532,2025-02,False,couples bracelets | couples rings | couples necklace
teacher,关系/身份,5,19763,2025-08,False,teacher earrings | teacher bracelet | teacher earrings for women
sister,关系/身份,5,59246,2025-12,True,sister bracelet | sister necklace | sister bracelets for women
couple,关系/身份,4,39860,2025-02,True,couple bracelets | totwoo couple bracelet long distance | matching couple bracelets
bff,关系/身份,4,43096,2025-03,False,bff necklace for 2 | bff necklace for 3 | bff bracelets
mama,关系/身份,3,23903,2025-05,False,mama necklace | mama necklaces for women | mama bracelet
wife,关系/身份,3,69039,2025-12,False,to my wife necklace from husband | wife necklace from husband | to my wife necklace
fidget,功能健康/特殊需求,13,4995,2025-12,False,fidget ring | fidget ring women | fidget rings
repellent,功能健康/特殊需求,7,3316,2025-06,False,mosquito repellent bracelets | bug repellent bracelets | cliganic mosquito repellent bracelet
permanent,功能健康/特殊需求,7,13006,2025-02,False,permanent bracelet kit | permanent jewelry starter kit | permanent jewelry
alert,功能健康/特殊需求,6,19260,2025-04,False,medical alert bracelets for women | medical alert bracelets for men | medical alert bracelet
mosquito repellent,功能健康/特殊需求,4,3316,2025-06,False,mosquito repellent bracelets | cliganic mosquito repellent bracelet | mosquito repellent bracelet
calmi,功能健康/特殊需求,4,12424,2025-04,False,calmi ring | calmi ring magnetic | calmi rings for women
medical alert,功能健康/特殊需求,4,19260,2025-04,False,medical alert bracelets for women | medical alert bracelets for men | medical alert bracelet
mosquito,功能健康/特殊需求,4,34823,2025-06,False,mosquito bracelets | mosquito bracelets for adults | mosquito bracelets for kids
anxiety,功能健康/特殊需求,3,11764,2025-12,True,anxiety ring | anxiety rings for women | anxiety rings
chew,功能健康/特殊需求,3,18290,2025-09,False,chew necklaces for sensory kids | sensory chew necklaces | chew necklace
